LOJA,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52
L12,2.6631841795937,2.25639760741384,2.37491418298026,2.34962150999178,2.45333496063064,2.62557682137261,2.50933823633426,2.53495303629513,2.55016672057763,3.28759195291412,2.65695718740909,2.66678769424971,2.44350817627355,2.53062974881154,2.34607977632064,3.15562147046397,2.91755546709338,2.90102033109904,2.43900501055465,2.52799870698649,2.61198694369072,2.42267377788397,2.28535463878624,2.34714565013271,2.89441158708447,2.60031327330207,2.76177799747158,2.79166419595227,2.67278322478067,3.23731891043153,2.70165387952606,2.26862797196597,2.80764563771908,2.43840737084607,2.67990535498716,2.84096878285233,2.54364362468487,2.43320748442678,2.47831151226325,2.8896743193479,2.82025434629151,2.48414419367402,2.54068431633773,2.84912297124351,2.73919446844591,3.14917500851366,3.31848476356382,3.22809584641415,3.05485384485868,3.05647733482893,2.95802984131198,2.64969711477047
L13,1.14602267602744,0.537095267045819,0.918003422241515,0.625648701475244,0.455555151892192,0.700520521888964,0.574287474431559,0.70204034000207,0.424448088654832,0.995850027717362,0.807066410289533,0.816234484209852,0.866389481294181,0.941046244329297,0.796436392006382,1.55946670308778,1.09972686863942,1.04100081043696,0.650420756878126,0.583695784188759,0.746504389744983,0.608620045311395,0.56729296062083,0.778881181873579,0.986195361755159,0.517275195350542,0.651190231333647,0.741737175679042,0.704715653403166,1.06949227863068,0.885195352667785,0.801723109271645,0.889582803138025,0.624364868659996,0.805965358646127,0.417595934133096,0.692402589472525,0.655109413307693,0.64546252855026,0.760497735320518,1.08075767437054,0.743425510495688,0.592856766085012,0.270239625012376,0.772450335627027,1.26916683969798,1.04370418818802,0.844424671478546,1.0268985559841,0.90811060002549,0.877595049930709,0.900032489690504
L14,1.52887399112448,1.06696372214017,1.25360210396391,0.813129189566928,1.05572934265362,0.918796244853232,0.846779245900166,1.22507332659857,1.39803726396435,1.45354468335242,0.848744510770236,1.14788114425786,1.17206763828081,1.06053489010717,0.964989984486681,1.71458859316215,1.26500874285694,1.38241964830805,0.913687597845245,0.821860413940308,0.845774175259237,1.07217646925651,0.8230620153093,0.988419814468704,1.42803988335276,0.751028773488881,1.13003833460244,1.05608489545707,1.17989344282301,1.14451636631831,1.05262369457359,0.859057284612427,0.914339503471447,1.05970470704462,0.907450476271012,0.941150542256123,1.06965986257885,0.945436080163364,1.16612716391647,1.4229446732533,1.50880833184357,1.07207440548927,1.04253762662133,1.27340784841754,0.981601918427727,1.33584811066663,1.58506873688857,1.17399089122984,1.28266888538103,1.23708449397145,0.826472085658461,1.17258900096396
L15,-0.646224690585261,-0.492358946579478,-0.342770385157179,-0.330692385843326,-0.39706616593205,-0.679241261342335,-0.502044991591295,-0.543572212530973,-0.802459818310551,-0.641345158791557,-0.494407209398114,-0.297680417523346,-0.286631648930027,-0.316609852612346,-0.273848630210753,-0.284465535802673,-0.226692023629371,-0.217336169780001,-0.427733482005101,-0.430804339353059,-0.385353836539759,-0.481089696421496,-0.512792979057567,-0.502905045730591,-0.581056786837,-0.376134651974057,-0.644467951368166,-0.646778337055817,-0.636936705781191,-0.572504806026691,-0.709755397277541,-0.59888293755753,-0.690773347557501,-0.36473685858432,-0.48553869930443,-0.343936065402214,-0.31289090392257,-0.309770151797693,-0.321618219695454,-0.290376543351972,-0.371826594923153,-0.00560795060595418,-0.170657418917278,-0.162842541534518,-0.203411721120216,-0.331498847292004,-0.222383545316097,-0.531138914061844,-0.385481679426297,-0.357366360579745,-0.276773420579043,-0.469886835270205
L16,-0.236763723039824,-0.252301332984232,-0.226999092979663,-0.27062681457189,-0.311026249439762,-0.0731029402813768,-0.236158788230437,-0.442422009865184,-0.371453977200629,-0.0699286385138289,-0.0961779017889356,-0.093422218341247,-0.202816549320147,-0.159238940558692,-0.183520829968522,0.0473266347563202,-0.213174824517123,-0.112374541819956,-0.160426831107201,-0.226474394487361,-0.20285630874849,-0.00324514747852031,-0.0464684242839918,-0.150539196323179,-0.0425162044148408,-0.148739181904033,-0.0706506113982637,-0.238692107494427,-0.137521697169178,-0.047583373792495,-0.180802373422481,-0.0676129939492568,-0.149321914225059,-0.220360913415284,-0.264584334130491,-0.0161797640417422,-0.114720888932217,-0.149651065680855,-0.284370523316408,-0.28752932080576,-0.30180771967535,-0.294790883495765,-0.231325685151993,-0.196319881655776,-0.0436295119228476,0.0750662133060069,0.062023018614814,0.0684650106988815,-0.0124342285917832,-0.0180399226974964,-0.0148280137480494,-0.00724387134707702
L17,1.20524799279777,1.67816818550862,1.2590030855804,1.68670518642029,1.45349967376231,1.5026620048726,1.69379418090527,1.83802591092962,1.7565537392572,1.40879871137697,1.68674585146933,1.72099703152294,1.89880343783444,1.58966703775039,1.4668694479878,1.19328398661536,1.52010091587065,1.36533036859171,1.54942711696188,1.44537960897145,1.58214752228501,1.5306024269909,1.75289208385559,1.56010155361355,1.21541162535734,2.10466636050691,1.69511278911305,1.82527866914417,2.06901568612975,1.90614403895895,1.84701523355932,1.64030981291336,1.87193876665981,1.72930233373933,1.82608743699331,1.57140680668192,1.69891373109311,1.71238950682715,1.74055432442843,1.47845438245779,1.18367896941474,1.55478236516756,1.79868778242637,1.7481007916905,1.78197178610627,1.78582953135948,1.55026019091912,1.72108743083797,1.7035027725914,1.63801999784514,1.58988025746861,1.5816514711077
L18,0.795231751341442,0.218496076420716,0.188487658185769,0.266627484022408,0.259252588461707,0.248245043851069,0.240425599548943,-0.0461200201339224,-0.12122279823198,0.34076018331865,0.107985816467479,0.290294184297792,0.206936778069817,0.226021645546104,0.281159288570577,0.466917478113104,0.224868148612106,0.204205670093637,-0.00768281881982619,0.0759120298233789,0.245387082741361,0.195831275323153,0.0180245961873136,-0.044425142609952,0.104677405939051,0.0815748946459156,0.0967901364049947,-0.0913070512462414,0.112283370320317,0.0858537048324417,0.0933721420096579,-0.111503614056496,0.147731479866662,0.122787670854665,0.147544301971981,0.142073178482717,-0.00551411851522175,0.0517452178299048,0.174893841493282,-0.0702628394443948,-0.607019699680697,0.112222178801433,0.068635528910922,0.259684938609058,0.122370421114561,0.138262718321562,0.0777341510710075,-0.0924339555624148,-0.222032217468656,-0.298408451540814,-0.374879331244928,-0.358138528423789
L19,0.849103012579745,1.21456160301115,1.57090491924136,1.4461816926882,1.54515450500494,1.455293953809,1.45875901169058,1.65437845751543,1.59985590812833,1.29037956928995,1.6242849591593,1.49684334609527,1.33674535445342,1.28205044361498,1.47656545598593,1.22790245732819,1.37384689477526,1.32036290673911,1.7582743796946,1.48881360414135,1.43457902848946,1.32577274233663,1.32273669898158,1.2561410178803,1.2390550295473,1.71191521377689,1.46089891000571,1.73201350895721,1.44014442577154,1.4368031026381,1.63842616129127,1.97937318704649,1.84725561536873,1.71966863655225,1.47295517906633,1.48537912615342,1.54790298485412,1.63376178643807,1.6896308757131,1.62862978914518,1.81757424074215,1.25162955753873,1.11648905245598,1.19683523979998,1.32618889549932,1.30417778332813,1.4587056045332,1.43559895271843,1.49114397138812,1.49843376276372,1.48643903952326,1.48838071940159
L20,0.476482306077625,0.221239579714357,0.14981271308328,0.206826669222739,0.261674673240161,0.534701417741829,0.235617286246955,0.142401412910182,0.129948872670827,0.228762239091981,0.132787894775106,0.253391365001173,0.204566269354412,0.269743813564993,0.345478652737765,0.682603489607184,0.37686080456402,0.296088554458456,0.328052245076533,0.399362741103878,0.361621282429496,0.268988047043366,0.238863593924074,0.318450842560502,0.241993670076089,0.236423186372509,0.167162564315779,0.144508368916521,0.322125005878775,0.376378420165668,0.346166121372091,0.513570988513871,0.250736417161126,0.163304331293141,0.221785510898069,0.312457158626358,0.253221675996727,0.168218484970529,0.158822204292926,0.162073615133628,-0.0266389698461505,0.298263604114298,0.254891566760492,0.238901173986367,0.133251516525388,0.115850893375104,0.191093940743438,0.240596478183883,0.101452568814156,0.110046453921844,0.221081852250779,0.461703355193719
L21,1.15737577000588,0.890327691697704,0.700025028947071,0.855206399016241,0.741027597268108,0.794023472712469,0.844339989293,0.719770211647146,0.730766153278088,0.315403395961988,0.790088925099851,0.742266503201221,0.69930793944811,0.748277031046349,0.693151313205257,0.938162130870455,0.924746508681146,0.835666347134891,0.783783878403026,0.955428110810295,0.965798063482903,0.788308438343934,0.663149545054307,0.69815245397071,0.932434050569717,0.87984636599075,0.884102936217002,0.785182485000106,1.13463606016889,1.04265743627211,1.02048484947267,1.04070227870874,1.06372290452896,0.850783092872966,0.859255189993551,0.789846164595715,0.910172413631557,0.834354825743183,0.782803209496583,1.08739819310552,1.12896446526667,0.79387352256924,1.01470137194379,1.07950184680351,0.918008875948793,1.03991681952802,0.943735777523972,0.999815347320132,0.999056293399935,1.09573210200071,1.16023022844301,1.08939792665391
